101	7035	18
101	9843	14
431	9427	4
173	5742	3
166	1780	21
120	2542	8
106	3811	1
101	51	3
107	2377	5
2	1381	9
306	8186	20
505	1451	43
110	7591	26
4448	4801	8
107	9190	15
102	1759	2
230	42	4
128	5887	0
101	6458	4
106	4132	4
15239	6618	20
101	919	9
106	6122	6
4248	557	6
114	9492	15
2884	6034	16
101	626	21
104	823	10
176	4267	4
272	6670	14
533	8462	16
101	5145	25
101	3764	20
101	4658	7
101	9173	28
356	2409	3
14	1286	54
212	3869	1
157	3596	19
14	7350	10
319	8687	12
28384	3634	21
104	2994	5
102	4880	4
449	6641	6
456	6114	15
3133	9512	25
6253	8327	18
2023	2494	1
581	785	3
101	8126	10
163	5898	7
16085	6682	0
11099	9326	2
12	9874	4
2389	1414	6
1292	2505	24
102	6931	29
4590	634	13
9	5571	31
107	6543	1
356	1857	4
12	2135	6
192	5515	2
16944	1997	17
107	4335	18
110	2286	10
12246	778	5
110	2315	22
14	2967	10
14969	7253	9
814	9684	1
4674	9374	10
317	4509	40
2367	2950	15
2032	1448	23
5179	8065	0
327	3666	5
104	6429	5
20040	5610	25
104	2193	13
113	7513	5
195	7887	34
8450	7372	12
3763	3354	1
2772	3301	6
2960	4081	10
1045	2914	4
488	1086	22
108	1187	0
111	8698	31
104	8602	13
517	8452	3
26088	4341	19
5646	4219	16
14	8412	8
108	1636	0
111	691	16
122	4515	4
1044	3499	10
3659	3337	20
137	2754	17
193	8210	3
23037	1745	5
101	7993	8
126	5437	2
4934	8052	17
105	7280	1
12	8667	4
28297	9961	10
1875	7930	7
178	6360	9
479	8435	34
338	2833	9
907	9212	25
511	3663	8
524	1243	10
105	1401	6
841	3567	8
5573	1906	21
205	9256	16
13762	1550	1
8	1279	36
125	2256	7
129	6655	22
14	5785	11
304	6493	14
14	8533	14
136	8783	4
115	350	15
111	9816	7
490	403	2
7	7239	7
119	9794	18
173	6723	26
699	3241	4
1134	9409	0
26134	2249	1
18912	234	26
101	9022	4
153	8003	12
101	2164	18
12	7644	8
101	1406	9
101	6173	6
18424	2726	1
7	640	2
3736	3328	23
101	402	23
101	9783	6
119	6697	4
8	1317	21
103	1818	16
3103	4166	13
122	5184	10
104	254	14
605	8045	14
113	8954	3
23306	3170	6
107	4100	10
22703	1191	11
102	6585	19
12	3379	10
101	2290	4
135	3625	0
12	6046	7
13572	5732	16
7	5537	2
112	7090	11
